cAzimuth,cElevation,time
50.0,20.0,1016.0
10.0,20.0,1020.0
-30.0,20.0,1024.0
-70.0,20.0,1028.0
-90.0,20.0,1032.0
-50.0,20.0,1036.0
-10.0,20.0,1040.0
30.0,20.0,1044.0
70.0,20.0,1048.0
90.0,20.0,1052.0
50.0,20.0,1056.0
10.0,20.0,1060.0
-30.0,20.0,1064.0
-70.0,20.0,1068.0
-90.0,20.0,1072.0
-50.0,20.0,1076.0
-10.0,20.0,1080.0
30.0,20.0,1084.0
70.0,20.0,1088.0
90.0,20.0,1092.0
50.0,20.0,1096.0
10.0,20.0,1100.0
-30.0,20.0,1104.0
-70.0,20.0,1108.0
-90.0,20.0,1112.0
-50.0,20.0,1116.0
-10.0,20.0,1120.0
30.0,20.0,1124.0
70.0,20.0,1128.0
90.0,20.0,1132.0
50.0,20.0,1136.0
10.0,20.0,1140.0
-30.0,20.0,1144.0
-70.0,20.0,1148.0
-90.0,20.0,1152.0
-50.0,20.0,1156.0
-10.0,20.0,1160.0
30.0,20.0,1164.0
70.0,20.0,1168.0
90.0,20.0,1172.0
50.0,20.0,1176.0
10.0,20.0,1180.0
-30.0,20.0,1184.0
-70.0,20.0,1188.0
-90.0,20.0,1192.0
-50.0,20.0,1196.0
-10.0,20.0,1200.0
30.0,20.0,1204.0
70.0,20.0,1208.0
90.0,20.0,1212.0
50.0,20.0,1216.0
10.0,20.0,1220.0
-30.0,20.0,1224.0
-70.0,20.0,1228.0
-90.0,20.0,1232.0
-50.0,20.0,1236.0
-10.0,20.0,1240.0
30.0,20.0,1244.0
70.0,20.0,1248.0
90.0,20.0,1252.0
50.0,20.0,1256.0
10.0,20.0,1260.0
-30.0,20.0,1264.0
-70.0,20.0,1268.0
-90.0,20.0,1272.0
-50.0,20.0,1276.0
-10.0,20.0,1280.0
30.0,20.0,1284.0
70.0,20.0,1288.0
90.0,20.0,1292.0
50.0,20.0,1296.0
10.0,20.0,1300.0
-30.0,20.0,1304.0
-70.0,20.0,1308.0
-90.0,20.0,1312.0
-50.0,20.0,1316.0
-10.0,20.0,1320.0
30.0,20.0,1324.0
70.0,20.0,1328.0
90.0,20.0,1332.0
50.0,20.0,1336.0
10.0,20.0,1340.0
-30.0,20.0,1344.0
-70.0,20.0,1348.0
-90.0,20.0,1352.0
-50.0,20.0,1356.0
-10.0,20.0,1360.0
30.0,20.0,1364.0
70.0,20.0,1368.0
90.0,20.0,1372.0
50.0,20.0,1376.0
10.0,20.0,1380.0
-30.0,20.0,1384.0
-70.0,20.0,1388.0
-90.0,20.0,1392.0
-50.0,20.0,1396.0
-10.0,20.0,1400.0
30.0,20.0,1404.0
70.0,20.0,1408.0
90.0,20.0,1412.0
50.0,20.0,1416.0
10.0,20.0,1420.0
-30.0,20.0,1424.0
-70.0,20.0,1428.0
-90.0,20.0,1432.0
-50.0,20.0,1436.0
-10.0,20.0,1440.0
30.0,20.0,1444.0
70.0,20.0,1448.0
90.0,20.0,1452.0
50.0,20.0,1456.0
10.0,20.0,1460.0
-30.0,20.0,1464.0
-70.0,20.0,1468.0
-90.0,20.0,1472.0
-50.0,20.0,1476.0
-10.0,20.0,1480.0
30.0,20.0,1484.0
70.0,20.0,1488.0
90.0,20.0,1492.0
50.0,20.0,1496.0
