CELEVATION,CHEADING,CSPEED,TIME
0.0,100.5668501490317,0.0,0.0
0.0,119.2429627765232,0.0,12.0
0.0,81.25124736424554,0.0,26.0
0.0,40.50696162448453,0.0,36.5
0.0,77.49406131201691,0.0,68.5
0.0,116.79380177993619,0.0,238.0
0.0,79.24698294459118,0.0,248.5
0.0,130.80192310362702,0.0,261.0
0.0,49.385880074966,0.0,273.5
0.0,-60.503808244702824,0.0,289.5
0.0,100.55768684099765,0.0,302.0
0.0,-3.1572123800170004,0.0,314.5
0.0,17.221837962820494,0.0,326.0
0.0,-23.260261526104177,0.0,349.5
0.0,70.60392000206178,0.0,361.5
0.0,-75.84876551124327,0.0,374.0
0.0,18.345399870442783,0.0,396.0
0.0,-106.32989526323689,0.0,463.5
0.0,-103.55423595228409,0.0,481.0
0.0,30.346304601292985,0.0,493.5
0.0,73.15479623511999,0.0,510.0
0.0,16.076786637131914,0.0,529.5
0.0,-51.19074990518523,0.0,554.5
0.0,48.13522606152664,0.0,568.0
0.0,-21.944901717181956,0.0,596.0
0.0,10.28537532042412,0.0,670.5
0.0,-41.43748067836897,0.0,728.0
0.0,129.02667010529223,0.0,785.0
0.0,77.28926266080754,0.0,806.5
0.0,156.36272995865014,0.0,824.5
0.0,-48.65150780035357,0.0,877.5
0.0,-57.245947361881356,0.0,892.5
0.0,-61.86156727718704,0.0,907.5
0.0,177.67928457153982,0.0,920.5
0.0,-175.58685309659384,0.0,969.0
0.0,157.2927232079847,0.0,986.5
0.0,-167.94215191463266,0.0,1023.5
0.0,165.59244139652802,0.0,1070.5
0.0,-161.8669318853027,0.0,1081.5
0.0,-166.5938179862302,0.0,1115.0
0.0,124.15644277593961,0.0,1167.0
0.0,-149.74462042650762,0.0,1202.0
0.0,128.7220539042033,0.0,1212.0
0.0,-173.84413639522853,0.0,1223.5
0.0,154.79445014321857,0.0,1234.5
0.0,130.05691614293698,0.0,1247.5
0.0,159.67501067227974,0.0,1261.5
0.0,167.3412400580523,0.0,1271.5
0.0,-46.02532688040595,0.0,1283.5
0.0,-71.59604928888851,0.0,1295.5
0.0,-54.03793602411641,0.0,1311.0
0.0,159.04202544297397,0.0,1321.5
0.0,118.24142638557325,0.0,1333.5
0.0,98.51589154680107,0.0,1344.0
0.0,112.52891827735752,0.0,1355.0
0.0,175.30785761197077,0.0,1365.5
0.0,17.41685247007325,0.0,1376.5
0.0,177.2968694273655,0.0,1388.0
0.0,-150.1590289308944,0.0,1398.5
0.0,41.191307696026776,0.0,1412.0
0.0,-47.115830338554275,0.0,1433.0
0.0,-1.8942972321317662,0.0,1446.0
0.0,-89.28730129383352,0.0,1460.0
0.0,178.70139660409438,0.0,1473.0
0.0,-83.33793671212763,0.0,1501.0
0.0,-21.962499001881532,0.0,1525.0
0.0,-76.15229198275483,0.0,1543.0
0.0,84.07049693501585,0.0,1557.0
0.0,-28.578218686293333,0.0,1568.5
0.0,41.089803162400514,0.0,1584.0
0.0,-58.4562968842699,0.0,1600.0
0.0,94.89303325734478,0.0,1620.0
0.0,33.54581715438183,0.0,1634.5
0.0,4.76835264322632,0.0,1655.5
0.0,8.150213342061315,0.0,1667.5
0.0,31.670793168605428,0.0,1679.5
0.0,-147.4185155206627,0.0,1690.5
0.0,63.734201175050565,0.0,1700.5
0.0,119.3701954696341,0.0,1711.0
0.0,87.81481360319431,0.0,1725.5
0.0,90.10056237442524,0.0,1736.0
0.0,106.53976523139708,0.0,1750.5
0.0,-18.32708010558246,0.0,1761.5
0.0,-40.63020327073084,0.0,1776.5
0.0,-1.3834578011642928,0.0,1787.5
0.0,124.25656457508383,0.0,1799.5
0.0,-89.52699826317219,0.0,1811.5
0.0,-169.15224865088675,0.0,1824.5
0.0,-88.69519052631975,0.0,1842.5
0.0,72.03086962726168,0.0,1871.0
0.0,-39.364341798687136,0.0,1887.0
0.0,67.60886608833727,0.0,1902.5
0.0,15.441239317086037,0.0,1926.5
0.0,15.316208949966114,0.0,1936.5
0.0,13.148096963251579,0.0,1966.5
0.0,8.62800558033167,0.0,2003.0
0.0,-35.94500400749336,0.0,2037.5
0.0,-52.37559033750624,0.0,2048.5
0.0,-27.60746698150415,0.0,2068.0
0.0,-98.99937401115882,0.0,2093.0
0.0,-69.04135761217279,0.0,2116.5
0.0,-49.073220288832886,0.0,2141.0
0.0,69.08046270182986,0.0,2169.0
0.0,83.10401835739707,0.0,2213.0
0.0,57.090113988332554,0.0,2230.5
0.0,85.14489919881419,0.0,2252.0
0.0,-162.00406536327964,0.0,2263.0
0.0,108.66903737327907,0.0,2296.0
0.0,-148.2176307995761,0.0,2340.0
0.0,-168.08150014265016,0.0,2366.5
0.0,-57.022954745260776,0.0,2389.5
0.0,46.968873251313255,0.0,2399.5
