CELEVATION,CHEADING,CSPEED,TIME
0.0,70.0,0.0,0.0
0.0,10.0,0.0,450.0
0.0,45.0,0.0,850.0
0.0,-45.0,0.0,870.0
0.0,-135.0,0.0,900.0
0.0,135.0,0.0,940.0
0.0,45.0,0.0,990.0
0.0,-45.0,0.0,1050.0
0.0,-135.0,0.0,1120.0
0.0,135.0,0.0,1200.0
0.0,45.0,0.0,1290.0
0.0,-45.0,0.0,1380.0
0.0,-135.0,0.0,1480.0
0.0,135.0,0.0,1580.0
0.0,45.0,0.0,1680.0
0.0,-45.0,0.0,1790.0
0.0,-135.0,0.0,1900.0
0.0,135.0,0.0,2010.0
0.0,45.0,0.0,2130.0
0.0,-45.0,0.0,2250.0
0.0,-135.0,0.0,2380.0
0.0,135.0,0.0,2510.0
0.0,45.0,0.0,2640.0
0.0,-45.0,0.0,2780.0
0.0,-135.0,0.0,2920.0
0.0,135.0,0.0,3060.0
0.0,45.0,0.0,3210.0
0.0,-45.0,0.0,3360.0
0.0,-135.0,0.0,3510.0
0.0,135.0,0.0,3670.0
0.0,45.0,0.0,3830.0
0.0,-45.0,0.0,3990.0
