CELEVATION,CHEADING,CSPEED,TIME
0.0,60.0,0.0,0.0
0.0,-45.0,0.0,100.0
0.0,45.0,0.0,325.0
0.0,135.0,0.0,350.0
0.0,45.0,0.0,575.0
0.0,-45.0,0.0,600.0
0.0,45.0,0.0,825.0
0.0,135.0,0.0,850.0
0.0,45.0,0.0,1075.0
0.0,-45.0,0.0,1100.0
0.0,45.0,0.0,1325.0
0.0,135.0,0.0,1350.0
0.0,45.0,0.0,1575.0
0.0,-45.0,0.0,1600.0
0.0,45.0,0.0,1825.0
0.0,135.0,0.0,1850.0
0.0,45.0,0.0,2075.0
0.0,-45.0,0.0,2100.0
0.0,45.0,0.0,2325.0
0.0,135.0,0.0,2350.0
0.0,45.0,0.0,2575.0
0.0,-45.0,0.0,2600.0
0.0,45.0,0.0,2825.0
0.0,135.0,0.0,2850.0
0.0,45.0,0.0,3075.0
0.0,-45.0,0.0,3100.0
0.0,45.0,0.0,3325.0
0.0,135.0,0.0,3350.0
0.0,45.0,0.0,3575.0
0.0,-45.0,0.0,3600.0
0.0,45.0,0.0,3825.0
0.0,135.0,0.0,3850.0
0.0,45.0,0.0,4075.0
0.0,-45.0,0.0,4100.0
0.0,45.0,0.0,4325.0
0.0,135.0,0.0,4350.0
0.0,45.0,0.0,4575.0
0.0,-45.0,0.0,4600.0
0.0,45.0,0.0,4825.0
0.0,135.0,0.0,4850.0
0.0,45.0,0.0,5075.0
0.0,-45.0,0.0,5100.0
0.0,45.0,0.0,5325.0
0.0,135.0,0.0,5350.0
0.0,45.0,0.0,5575.0
0.0,-45.0,0.0,5600.0
0.0,45.0,0.0,5825.0
0.0,135.0,0.0,5850.0
