CELEVATION,CHEADING,CSPEED,TIME
0.0,135.0,0.0,1145.0
0.0,-90.0,0.0,1595.0
0.0,-90.0,0.0,1645.0
0.0,90.0,0.0,2095.0
0.0,90.0,0.0,2145.0
0.0,-90.0,0.0,2595.0
0.0,-90.0,0.0,2645.0
0.0,90.0,0.0,3095.0
0.0,90.0,0.0,3145.0
0.0,-90.0,0.0,3595.0
0.0,-90.0,0.0,3645.0
0.0,90.0,0.0,4095.0
0.0,90.0,0.0,4145.0
0.0,-90.0,0.0,4595.0
0.0,-90.0,0.0,4645.0
0.0,90.0,0.0,5095.0
0.0,90.0,0.0,5145.0
0.0,-90.0,0.0,5595.0
0.0,-90.0,0.0,5645.0
0.0,90.0,0.0,6095.0
0.0,90.0,0.0,6145.0
0.0,-90.0,0.0,6595.0
0.0,-90.0,0.0,6645.0
0.0,90.0,0.0,7095.0
0.0,90.0,0.0,7145.0
