CELEVATION,CHEADING,CSPEED,TIME
0.0,70.0,0.0,0.0
0.0,15.0,0.0,450.0
0.0,45.0,0.0,920.0
0.0,-45.0,0.0,940.0
0.0,-135.0,0.0,970.0
0.0,135.0,0.0,1010.0
0.0,45.0,0.0,1060.0
0.0,-45.0,0.0,1120.0
0.0,-135.0,0.0,1190.0
0.0,135.0,0.0,1270.0
0.0,45.0,0.0,1360.0
0.0,-45.0,0.0,1450.0
0.0,-135.0,0.0,1550.0
0.0,135.0,0.0,1650.0
0.0,45.0,0.0,1750.0
0.0,-45.0,0.0,1860.0
0.0,-135.0,0.0,1970.0
0.0,135.0,0.0,2080.0
0.0,45.0,0.0,2200.0
0.0,-45.0,0.0,2320.0
0.0,-135.0,0.0,2450.0
0.0,135.0,0.0,2580.0
0.0,45.0,0.0,2710.0
0.0,-45.0,0.0,2850.0
0.0,-135.0,0.0,2990.0
0.0,135.0,0.0,3130.0
0.0,45.0,0.0,3280.0
0.0,-45.0,0.0,3430.0
0.0,-135.0,0.0,3580.0
0.0,135.0,0.0,3740.0
0.0,45.0,0.0,3900.0
0.0,-45.0,0.0,4060.0
