CELEVATION,CHEADING,CSPEED,TIME
0.0,0.0,0.0,1000.0
0.0,-90.0,0.0,1410.0
0.0,270.0,0.0,1430.0
0.0,-90.0,0.0,1460.0
0.0,-90.0,0.0,1500.0
0.0,-90.0,0.0,1550.0
0.0,270.0,0.0,1610.0
0.0,-90.0,0.0,1680.0
0.0,-90.0,0.0,1760.0
0.0,-90.0,0.0,1850.0
0.0,270.0,0.0,1950.0
0.0,-90.0,0.0,2060.0
0.0,-90.0,0.0,2180.0
0.0,-90.0,0.0,2310.0
0.0,270.0,0.0,2450.0
0.0,-90.0,0.0,2600.0
0.0,-90.0,0.0,2760.0
0.0,-90.0,0.0,2930.0
0.0,270.0,0.0,3110.0
0.0,-90.0,0.0,3300.0
0.0,-90.0,0.0,3500.0
0.0,-90.0,0.0,3710.0
0.0,270.0,0.0,3930.0
0.0,-90.0,0.0,4160.0
0.0,-90.0,0.0,4400.0
0.0,-90.0,0.0,4650.0
0.0,270.0,0.0,4910.0
0.0,-90.0,0.0,5180.0
0.0,-90.0,0.0,5460.0
0.0,-90.0,0.0,5750.0
0.0,270.0,0.0,6050.0
0.0,-90.0,0.0,6360.0
0.0,-90.0,0.0,6680.0
0.0,-90.0,0.0,7010.0
