CELEVATION,CHEADING,CSPEED,TIME
0.0,102.94598144304184,0.0,317.0
0.0,31.217016960735144,0.0,347.5
0.0,101.64126346781447,0.0,384.5
0.0,-1.1649161873833265,0.0,503.5
0.0,29.972893352595595,0.0,611.0
0.0,142.6555067285344,0.0,671.5
0.0,-166.41315969830225,0.0,703.0
0.0,142.14286149789407,0.0,733.5
0.0,-16.164140897164003,0.0,765.0
0.0,7.842274412533014,0.0,798.5
0.0,124.50427103168923,0.0,834.0
0.0,-98.7769331981853,0.0,870.0
0.0,-47.165738617700406,0.0,901.5
0.0,3.4039117555911433,0.0,931.5
0.0,-136.4064682460024,0.0,964.5
0.0,77.89463143224444,0.0,999.0
0.0,-135.72209955056573,0.0,1037.5
0.0,-23.39909519328182,0.0,1067.5
0.0,-8.439771966173051,0.0,1098.0
0.0,145.90931586120638,0.0,1134.0
0.0,20.61141130000786,0.0,1164.5
0.0,-40.96929728301756,0.0,1208.5
0.0,60.05392199945768,0.0,1244.5
0.0,157.2546774624649,0.0,1293.5
0.0,65.41775240000416,0.0,1325.0
0.0,-123.65853627363563,0.0,1388.5
0.0,-11.411307476380127,0.0,1432.0
0.0,87.25150510798458,0.0,1472.0
0.0,-140.5007978882866,0.0,1540.5
0.0,80.38298025813796,0.0,1608.0
0.0,100.54805896139894,0.0,1662.5
0.0,35.188941747365476,0.0,1706.5
0.0,41.65970327429217,0.0,1781.0
0.0,71.93250110352449,0.0,1812.0
0.0,34.55454488511098,0.0,1847.5
0.0,97.25946089582573,0.0,1896.5
0.0,108.22153172519728,0.0,1963.5
0.0,-15.455937201958193,0.0,2013.5
0.0,17.753742446776528,0.0,2092.0
0.0,-62.10880337894554,0.0,2141.0
0.0,-140.43117309759833,0.0,2173.0
0.0,113.18042935298888,0.0,2224.0
0.0,-33.2029660958048,0.0,2259.0
0.0,-127.05770409183873,0.0,2336.5
0.0,32.262509317212825,0.0,2390.5
0.0,-58.38603020393719,0.0,2446.0
0.0,162.0008919990165,0.0,2482.5
0.0,-171.05521381967236,0.0,2532.0
0.0,39.358249508033346,0.0,2565.5
0.0,-72.91980378870782,0.0,2596.5
0.0,-160.44044343640152,0.0,2633.5
0.0,61.97864802751312,0.0,2689.5
0.0,47.54877412616209,0.0,2737.5
0.0,54.82095317141229,0.0,2885.5
0.0,-86.96468204922634,0.0,2923.5
0.0,-20.58876681793777,0.0,3155.5
0.0,164.20798774022825,0.0,3215.5
0.0,33.16512816619836,0.0,3251.5
0.0,57.07361873640477,0.0,3321.5
0.0,67.89195598760107,0.0,3386.0
0.0,70.28785717391514,0.0,3424.0
0.0,122.92089014780782,0.0,3516.0
0.0,-172.39981714296076,0.0,3552.5
0.0,-88.03220398488887,0.0,3589.5
0.0,165.62442096443516,0.0,3625.0
0.0,7.045807497984157,0.0,3709.0
0.0,143.03681425806383,0.0,3767.5
0.0,-73.80125460063284,0.0,3815.0
0.0,-102.4391713379426,0.0,3851.0
